"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","You are being invited to partcipate in a research study titled ""Transportation Preferences in Belgium""  This study is being conducted by Universite Libre de Bruxelles (ULB) explicity for scientific purposes.   The purpose of this study is to discover the preferences of Belgian Population in the transportation sector.   The EU data protection law called GDPR regulates how personal data is processed, under that law, I must have your explicit consent, before continuing with this survey.          ","Are you using the bus ?","How often do you take the bus ?","Please answer the following questions  [How much do you care about the type of fuel of the bus that you use or could use ? (diesel, electric, hybrid electric ,hydrogen)]","Please answer the following questions  [How much do you care about the ticket cost of the bus that you use or could use? ]","Please answer the following questions  [How much do you care about the schedule frequency of the bus that you use or could use? ]","Please answer the following questions  [How much do you care about the source of funding of the bus that you are using ? (Regional, Federal, European)]","Rate your level of agreement for each of the following statements  [I buy seasonal products]","Rate your level of agreement for each of the following statements  [I buy locally produced foods]","Rate your level of agreement for each of the following statements  [I eat a vegetarian meal]","Rate your level of agreement for each of the following statements  [I use the public transportation ]","Rate your level of agreement for each of the following statements  [I cycle instead of drive]","Rate your level of agreement for each of the following statements  [I buy food closer to its expiration date to help supermarkets avoid waste]","Rate your level of agreement for each of the following statements  [I turn off the lights when leaving a place]","Rate your level of agreement for each of the following statements  [I collect and recycle used paper]","Rate your level of agreement for each of the following statements  [I collect and recycle food waste]","Rate your level of agreement for each of the following statements  [I collect and recycle packages ]","Rate your level of agreement for each of the following statements  [I collect and recycle empty glass bottles]","Rate your level of agreement for each of the following statements  [I turn off the water while brushing my teeth]","Rate your level of agreement for each of the following statements  [I turn off the water while shaving]","Rate your level of agreement for each of the following statements  [I try to consume less in general]","Rate your level of agreement for each of the following statements  [I lower the thermostat during the night]","Rate your level of agreement for each of the following statements  [I unplug unused electronics]","Rate your level of agreement for each of the following statements  [It is important to me that the products I use do not harm the environment ]","Rate your level of agreement for each of the following statements  [I consider the potential environmental impact of my actions when making many of my decisions]","Rate your level of agreement for each of the following statements  [My purchase habits are affected by my concern for our environment ]","Rate your level of agreement for each of the following statements  [I am concerned about wasting the resources of our planet]","Rate your level of agreement for each of the following statements  [I would describe myself as environmentally responsible]","Rate your level of agreement for each of the following statements  [I am willing to be inconvenienced in order to take actions that are more environmentally friendly ]","Do you know the difference between renewable and non-renewable energy?","Which of the following technologies are considered as renewable from your experience? [Solar energy]","Which of the following technologies are considered as renewable from your experience? [Fossil Fuels ]","Which of the following technologies are considered as renewable from your experience? [Natural Gas]","Which of the following technologies are considered as renewable from your experience? [Wind Energy]","Which of the following technologies are considered as renewable from your experience? [Hydrogen]","Which of the following technologies are considered as renewable from your experience? [Uranium]","Which of the following technologies are considered as renewable from your experience? [Hydropower]","Which of the following technologies are considered as renewable from your experience? [Geothermal Energy ]","Which of the following technologies are considered as renewable from your experience? [Coal]","Which of the following technologies are considered as renewable from your experience? [Crude Oil]","Are you aware of the Paris Agreement ?","Are you aware of the European Green Deal ?","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Gasoline Vehicles ]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Diesel Vehicles ]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Liquefied Petroleum Vehicles]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Ethanol Vehicles ]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Compressed Natural Gas Vehicles]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Biodiesel Vehicles ]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Electric Batteries Vehicles ]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Hybrid Vehicles]","Are you aware of the following available technologies in the transportation ? (You can choose multiple answers) [Hydrogen Vehicles]","To what extent do you agree with the following statements ? [I am following the news related to the latest environmental laws in Belgium]","To what extent do you agree with the following statements ? [I am following the news related to the latest environmental laws in European Union]","To what extent do you agree with the following statements ? [I am following the news related to transportation sector ]","To what extent do you agree with the following statements ? [I am usually updated of the existing and available technologies in the energy sector ]","To what extent do you agree with the following statements ? [I usually inform my friends and family for any updates related with energy transition and climate change]","To what extent do you agree with the following statements ? [I can easily understand the technical aspects of a new technology]","To what extent do you agree with the following statements ? [My friends think that climate change is real]","To what extent do you agree with the following statements ? [My family would definitely support me towards an environmental friendly behaviour]","To what extent do you agree with the following statements ? [My social media followers and friends believe that we should protect our planet]","To what extent do you agree with the following statements ? [My colleagues have environmental awareness  ]","To what extent do you agree with the following statements ? [In my community, people recycling very often]","To what extent do you agree with the following statements ? [In my community, people use public transportation more often than cars]","To what extent do you agree with the following statements ? [Based on your experience, humans are responsible for climate change]","In which region of Belgium do you currently live ?","What is your age?","What gender do you identify with?","What is the highest degree or level of education you have completed?","What is your monthly household net income?","What type of community do you live in?","Total time","Group time: Disclaimer ","Question time: G01Q93","Group time: Attributes","Question time: G02Q16","Question time: G02Q17","Question time: G02Q22","Group time: Pro-existing environmental friendly behaviour","Question time: G10Q98","Group time: Green Scale","Question time: G11Q99","Group time: Technical Awareness ","Question time: G12Q100","Question time: G05Q19","Question time: G12Q101","Question time: G12Q102","Question time: G12Q103","Question time: G12Q104","Group time: Subjective Norms","Question time: G13Q105","Group time: Demographical Questions","Question time: country","Question time: DQ0001","Question time: DQ0002","Question time: DQ0003","Question time: DQ0004","Question time: residence"
"9","2022-01-06 15:28:48","19","en","898980211","2022-01-06 15:25:16","2022-01-06 15:28:48","I do consent to continue with the survey","Yes","Monthly","I do care","I do care a lot","I do care","I do care","Often","Sometimes","Sometimes","Often","Often","Often","Always","Always","Always","Often","Often","Always","Always","Always","Always","Always","Agree","Somewhat Agree","Agree","Somewhat Agree","Neutral","Agree","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat Agree","Agree","Agree","Somewhat Agree","Agree","Agree","Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Agree","Brussels Capital","25-34","Male","Master Degree","2,000€ - 2,499€","Suburb near a large city","219.52","","4.15","","3.72","6.23","19.28","","47.12","","34.58","","4.69","9.89","4.66","4.06","13.68","17.26","","23.57","","4.96","3.35","5.14","4.36","4.12","4.7"
"10","2022-01-06 15:43:12","19","en","1946503447","2022-01-06 15:38:23","2022-01-06 15:43:12","I do consent to continue with the survey","Yes","Monthly","I do care","Neutral","I do care","I don't care","Sometimes","Never","Sometimes","Often","Non Applicable","Sometimes","Always","Often","Often","Often","Always","Often","Often","Sometimes","Always","Sometimes","Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat Agree","Somewhat Agree","Neutral","Agree","Somewhat Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Somewhat Disagree","Strongly Agree","Brussels Capital","25-34","Male","Master Degree","More than 4,000€","Large City","297.07","","6.68","","4.77","6.76","26.52","","63.38","","33.06","","4.99","25.81","4.98","5.18","16.24","26.36","","30.61","","4.44","4.32","4.39","5.48","17.44","5.66"
"11","2022-01-06 15:48:02","19","en","1270392882","2022-01-06 15:42:30","2022-01-06 15:48:02","I do consent to continue with the survey","Yes","Every Day","I do care","I do care a lot","I do care a lot","Neutral","Always","Often","Sometimes","Always","Sometimes","Non Applicable","Always","Always","Sometimes","Always","Always","Always","Always","Always","Often","Often","Strongly Agree","Agree","Somewhat Agree","Strongly Agree","Agree","Agree","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Disagree","Neutral","Somewhat Disagree","Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Brussels Capital","25-34","Male","Master Degree","1,500€ - 1,999€","Large City","341.37","","7.94","","5.11","6.27","27.35","","76.93","","39.64","","8.08","15.34","7.74","6.26","22.43","33.71","","30.86","","8.62","7.1","7.38","9.04","7.71","13.86"
"12","2022-01-06 15:55:08","19","en","280877327","2022-01-06 15:50:24","2022-01-06 15:55:08","I do consent to continue with the survey","Yes","2-3 times a week","I do care a lot","I do care a lot","I do care","Neutral","Always","Often","Often","Often","Sometimes","Often","Always","Always","Always","Always","Always","Always","Always","Often","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Brussels Capital","25-34","Male","Master Degree","2,000€ - 2,499€","Large City","292.94","","12.22","","4.29","5.27","28.78","","58.73","","42.09","","5.3","16.87","6.11","4.44","17.7","24.39","","28.56","","4.77","5.48","4.73","7.44","7.58","8.19"
"13","2022-01-06 16:22:30","19","en","1798137856","2022-01-06 16:16:02","2022-01-06 16:22:30","I do consent to continue with the survey","Yes","2-3 times a week","I do care","I do care","I do care a lot","I don't care at all","Often","Non Applicable","Often","Often","Always","Sometimes","Always","Always","Often","Often","Sometimes","Always","Non Applicable","Often","Often","Often","Somewhat Agree","Somewhat Agree","Somewhat Agree","Agree","Agree","Somewhat Agree","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Not sure","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Somewhat Agree","Brussels Capital","25-34","Female","Master Degree","2,000€ - 2,499€","Large City","399.22","","17.19","","4.04","13.14","30.89","","107.61","","46.83","","6.91","18.53","6.73","6.48","25.61","33.81","","37.87","","6.52","6.39","3.71","7.46","10.55","8.95"
"14","2022-01-06 16:35:03","19","en","1223370417","2022-01-06 16:28:53","2022-01-06 16:35:03","I do consent to continue with the survey","No","Less than once a month","Neutral","I do care","I do care","I don't care","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Always","Always","Always","Always","Always","Often","Always","Sometimes","Often","Sometimes","Agree","Somewhat Agree","Somewhat Agree","Agree","Somewhat Agree","Somewhat Agree","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Disagree","Neutral","Agree","Agree","Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Brussels Capital","25-34","Female","Master Degree","3,000€ - 3,999€","Large City","378.41","","9.59","","4.35","10.35","26.43","","68.98","","44.42","","6.73","28.64","5.5","3.85","26.38","63.9","","38.37","","5.18","2.99","2.74","5.25","16.56","8.2"
"16","2022-01-06 17:01:39","19","en","847770289","2022-01-06 16:49:48","2022-01-06 17:01:39","I do consent to continue with the survey","Yes","Monthly","I do care","I do care a lot","I do care","I don't care","Often","Sometimes","Sometimes","Always","Often","Sometimes","Often","Always","Never","Always","Always","Always","Always","Often","Never","Often","Agree","Agree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Agree","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","Not sure","Not sure","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Agree","Strongly Agree","Brussels Capital","35-44","Male","Bachelor Degree","1,500€ - 1,999€","Large City","721.1","","12.62","","13.1","7.63","68.83","","112.24","","129.1","","12.27","50.67","25.86","4.87","28.84","73.8","","130.18","","6.98","5.84","5.89","10.52","13.39","8.47"
"17","2022-01-06 17:10:13","19","fr","937796552","2022-01-06 17:03:53","2022-01-06 17:10:13","I do consent to continue with the survey","No","Less than once a month","Neutral","I do care","I don't care at all","I don't care at all","Sometimes","Sometimes","Always","Sometimes","Often","Sometimes","Always","Always","Always","Always","Always","Always","Always","Often","Sometimes","Sometimes","Somewhat Agree","Somewhat Agree","Somewhat Agree","Agree","Neutral","Strongly Agree","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Somewhat Agree","Strongly Agree","Flanders","25-34","Male","Master Degree","More than 4,000€","Small City or Town","387.73","","12.98","","6.19","6.39","43.13","","87.39","","43.34","","7.83","19.94","3.88","4.8","21.6","44.4","","36.9","","6.28","4.5","5.05","7.39","12.27","13.47"
"19","2022-01-06 17:40:47","19","en","493552287","2022-01-06 17:28:57","2022-01-06 17:40:47","I do consent to continue with the survey","No","Less than once a month","I don't care at all","I do care","I do care","I don't care at all","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Often","Often","Sometimes","Never","Often","Always","Always","Sometimes","Never","Sometimes","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Neutral","Agree","Agree","Brussels Capital","25-34","Male","Master Degree","2,500€ - 2,999€","Large City","719.88","","5.09","","5.93","9.82","92.25","","180.18","","50.41","","8.46","128.57","7.64","5.85","34.84","64.9","","82.91","","7.06","4.52","5.13","6.61","9.84","9.87"
"21","2022-01-06 17:51:23","19","en","1461548144","2022-01-06 17:45:05","2022-01-06 17:51:23","I do consent to continue with the survey","Yes","2-3 times a week","Neutral","I do care","I do care a lot","I don't care","Often","Sometimes","Sometimes","Often","Never","Sometimes","Always","Always","Sometimes","Often","Always","Often","Always","Often","Always","Often","Agree","Neutral","Neutral","Agree","Somewhat Agree","Neutral","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Somewhat Agree","Agree","Agree","Agree","Somewhat Agree","Agree","Brussels Capital","25-34","Male","Doctorate","2,500€ - 2,999€","Large City","386.46","","9.31","","6.79","7.6","48.13","","65.41","","81.73","","8.61","23.67","4.56","5.02","24.27","32.23","","38.11","","4.28","3.86","3.74","7.78","6.13","5.23"
"25","2022-01-06 19:57:56","19","fr","1625728800","2022-01-06 19:52:01","2022-01-06 19:57:56","I do consent to continue with the survey","Yes","Every Day","I don't care","I do care a lot","I do care a lot","Neutral","Sometimes","Sometimes","Always","Always","Never","Sometimes","Always","Never","Never","Never","Never","Always","Never","Always","Always","Always","Neutral","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Neutral","Strongly Agree","Neutral","Strongly Disagree","Strongly Agree","Wallonia","25-34","Female","Middle School","2,000€ - 2,499€","Rural area","362.89","","6.81","","5.16","2.65","30.97","","60.71","","36.79","","7.16","12.88","4.51","3.12","19.05","87.08","","34.49","","4.87","3.51","3.02","12.36","21.48","6.27"
"27","","18","en","2115195933","2022-01-06 20:46:19","2022-01-06 20:51:57","I do consent to continue with the survey","Yes","2-3 times a week","I don't care at all","I do care a lot","I do care a lot","I don't care at all","Sometimes","Sometimes","Never","Often","Often","Never","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Never","Sometimes","Neutral","Somewhat Disagree","Disagree","Neutral","Somewhat Disagree","Disagree","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Somewhat Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Neutral","Agree","Somewhat Agree","Somewhat Agree","Agree","Agree","Strongly Agree","Somewhat Agree","Brussels Capital","25-34","Male","Master Degree","2,000€ - 2,499€","","344.65","","6.44","","5.46","6.15","25.4","","95.08","","44.55","","5.16","24.13","2.7","2.82","16.38","31.75","","50.62","","4.2","3.3","4.25","4.15","12.11",""
"29","2022-01-06 22:52:22","19","fr","524343649","2022-01-06 22:44:59","2022-01-06 22:52:22","I do consent to continue with the survey","Yes","Every Day","I don't care at all","I do care a lot","I do care a lot","I don't care at all","Sometimes","Sometimes","Non Applicable","Always","Never","Often","Always","Sometimes","Sometimes","Often","Non Applicable","Non Applicable","Non Applicable","Often","Always","Sometimes","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Not sure","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","Not sure","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Wallonia","45-54","Female","High School","Less than 1499€","Rural area","453.26","","47.35","","15.86","7.49","30.48","","75.92","","52.42","","15.79","45.64","6.1","5.93","15.41","43.21","","43.5","","8.12","5.89","5.44","9.57","7.5","11.64"
"30","2022-01-07 01:19:26","19","fr","1678193596","2022-01-06 23:07:27","2022-01-07 01:19:26","I do consent to continue with the survey","Yes","Every Day","I do care","I do care a lot","I do care a lot","I do care","Always","Often","Often","Always","Non Applicable","Sometimes","Often","Sometimes","Often","Sometimes","Often","Often","Non Applicable","Always","Always","Often","Somewhat Agree","Somewhat Agree","Somewhat Agree","Agree","Agree","Somewhat Agree","Not sure","Yes","No","No","Yes","No","No","No","No","No","No","Not sure","No","Yes","Yes","No","No","No","No","No","Yes","No","Somewhat Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Wallonia","65+","Female","High School","Less than 1499€","Rural area","7926.56","","8.13","","4.21","3.58","28.05","","72.85","","40.81","","7.31","13.01","4.82","6.33","15.69","40.98","","2537.18","","64.61","729.13","4329.68","5.41","8.06","6.72"
"31","2022-01-06 23:34:19","19","en","624580451","2022-01-06 23:24:08","2022-01-06 23:34:19","I do consent to continue with the survey","Yes","Monthly","I do care","I do care","I do care a lot","Neutral","Sometimes","Sometimes","Sometimes","Always","Non Applicable","Sometimes","Always","Always","Always","Always","Always","Always","Non Applicable","Often","Sometimes","Sometimes","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Brussels Capital","25-34","Female","Master Degree","2,000€ - 2,499€","Large City","619.85","","32.88","","7.69","7.28","32.5","","75.55","","59.25","","5.59","98.13","7.54","5.21","181.92","40.8","","31.23","","4.57","3.82","4.12","5.95","5.36","10.46"
"32","2022-01-06 23:49:38","19","en","901752999","2022-01-06 23:42:22","2022-01-06 23:49:38","I do consent to continue with the survey","Yes","Less than once a month","Neutral","I do care","Neutral","I don't care at all","Sometimes","Sometimes","Sometimes","Sometimes","Always","Sometimes","Always","Always","Never","Often","Always","Sometimes","Always","Sometimes","Often","Often","Agree","Agree","Somewhat Agree","Agree","Agree","Disagree","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Strongly Disagree","Disagree","Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Agree","Somewhat Agree","Strongly Disagree","Agree","Disagree","Agree","Brussels Capital","35-44","Male","Master Degree","3,000€ - 3,999€","Large City","443.78","","15.18","","6.96","10.77","46.24","","95.25","","49.38","","5.51","25.34","4.99","4.71","18.25","34.83","","51.43","","5.97","4.61","5.88","6.32","18.78","33.38"
"36","2022-01-07 04:40:59","19","fr","1446243856","2022-01-07 04:33:22","2022-01-07 04:40:59","I do consent to continue with the survey","No","Less than once a month","Neutral","I do care","Neutral","Neutral","Often","Often","Often","Sometimes","Sometimes","Never","Always","Often","Sometimes","Often","Always","Always","Always","Often","Always","Always","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Brussels Capital","45-54","Male","Bachelor Degree","More than 4,000€","Large City","465.14","","12.09","","9.02","10.55","51.1","","91.91","","51.59","","8.51","36.81","4.8","6.37","34.48","42.15","","52.62","","4.99","3.33","5.06","14.48","11.32","13.96"
"37","2022-01-07 07:19:51","19","fr","839705034","2022-01-07 07:08:55","2022-01-07 07:19:51","I do consent to continue with the survey","Yes","2-3 times a week","I don't care","I don't care","I do care","I don't care","Often","Often","Always","Often","Never","Never","Always","Sometimes","Never","Sometimes","Never","Often","Non Applicable","Always","Never","Always","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Not sure","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Brussels Capital","65+","Female","Bachelor Degree","3,000€ - 3,999€","Small City or Town","665.2","","12.49","","5.18","10.84","67.25","","144.96","","97.94","","13.63","27.21","5.76","5.63","39.31","106.33","","63.67","","8.75","5.6","5.11","16.04","8.76","20.74"
"38","2022-01-07 08:54:48","19","en","1222798334","2022-01-07 08:48:08","2022-01-07 08:54:48","I do consent to continue with the survey","Yes","Less than once a month","I don't care at all","Neutral","Neutral","I don't care at all","Often","Sometimes","Sometimes","Sometimes","Often","Never","Always","Often","Often","Often","Often","Often","Never","Sometimes","Always","Always","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Disagree","Disagree","Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Agree","Agree","Somewhat Agree","Agree","Agree","Neutral","Agree","Brussels Capital","25-34","Male","Master Degree","2,000€ - 2,499€","Large City","407.05","","5.28","","6.02","9.51","37.53","","101.08","","48.3","","6.34","27.91","5.3","4.36","26.38","41.18","","46.07","","5.77","4.32","4.12","6.62","12.71","8.25"
"41","2022-01-07 09:19:39","19","en","1999591736","2022-01-07 09:12:45","2022-01-07 09:19:39","I do consent to continue with the survey","No","Less than once a month","I do care","Neutral","I don't care at all","I don't care","Sometimes","Sometimes","Never","Never","Never","Never","Always","Often","Always","Often","Always","Always","Always","Sometimes","Always","Never","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Disagree","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Neutral","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Agree","Neutral","Neutral","Flanders","25-34","Male","High School","More than 4,000€","Rural area","410.79","","7.05","","3.63","3.26","80.88","","52.65","","40.6","","8.5","39.59","4.51","3.72","23.9","31.29","","29.7","","5.44","4.83","3.52","4.64","12.03","51.05"
"43","2022-01-07 09:44:51","19","fr","1678711837","2022-01-07 09:36:03","2022-01-07 09:44:51","I do consent to continue with the survey","Yes","Every Day","I don't care","I do care","I do care a lot","I do care","Often","Often","Often","Always","Non Applicable","Sometimes","Always","Never","Never","Never","Sometimes","Always","Sometimes","Sometimes","Often","Never","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Agree","Agree","Agree","Somewhat Agree","Somewhat Agree","Agree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Wallonia","18-24","Female","Bachelor Degree","3,000€ - 3,999€","Rural area","538.12","","20.43","","3.95","11.39","59.89","","111.39","","68.45","","6.92","60.75","6.33","3.38","24.31","53.55","","42.55","","9.7","3.85","3.37","12.47","19.79","15.65"
"46","2022-01-07 11:47:08","19","en","1143181108","2022-01-07 11:46:50","2022-01-07 11:47:08","I do not consent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","17.19","","17.19","","","","","","","","","","","","","","","","","","","","","","","",""
"48","2022-01-07 11:52:02","19","en","1624218105","2022-01-07 11:47:23","2022-01-07 11:52:02","I do consent to continue with the survey","No","Never","I do care a lot","I do care","I do care","I do care","Non Applicable","Often","Always","Sometimes","Always","Often","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Neutral","Agree","Neutral","Somewhat Agree","Agree","Somewhat Agree","Agree","Agree","Agree","Neutral","Somewhat Agree","Neutral","Strongly Agree","Brussels Capital","25-34","Male","Master Degree","1,500€ - 1,999€","Large City","287.89","","3.29","","4.69","3.79","23.24","","53.2","","38.23","","5.75","31.93","5.18","3.58","23.02","27.31","","32.07","","4.51","4.71","2.92","4.34","7.39","8.74"
"49","2022-01-07 12:17:02","19","en","350498419","2022-01-07 12:16:52","2022-01-07 12:17:02","I do not consent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","10.92","","10.92","","","","","","","","","","","","","","","","","","","","","","","",""
